Sampler,Model Name,Best Hyperparameters
GP,Random Forest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 81, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
GP,K-Nearest Neighbors,"{'algorithm': 'ball_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 22, 'p': 1, 'weights': 'uniform'}"
GP,Support Vector Machine,"{'C': 0.01, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
GP,AdaBoost,"{'algorithm': 'deprecated', 'estimator': None, 'learning_rate': 0.13311216080736885, 'n_estimators': 64, 'random_state': 42}"
GP,Gradient Boosting,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.0029245666860120206, 'loss': 'log_loss', 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 0.8365317135448747, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
GP,SEL-NNML,"{'cv': None, 'estimators': [('Logistic Regression', LogisticRegression(C=0.10971272926344011, max_iter=1000, n_jobs=-1,
                   random_state=42, solver='newton-cholesky')), ('Decision Tree', DecisionTreeClassifier(criterion='log_loss', max_depth=3, min_samples_leaf=7,
                       random_state=42)), ('Support Vector Machine', SVC(C=0.01, degree=4, kernel='poly', random_state=42)), ('Gradient Boosting', GradientBoostingClassifier(learning_rate=0.0029245666860120206,
                           max_features='sqrt', min_samples_leaf=10,
                           random_state=42, subsample=0.8365317135448747))], 'final_estimator__activation': 'relu', 'final_estimator__alpha': 0.00014352011136230925, 'final_estimator__batch_size': 'auto', 'final_estimator__beta_1': 0.9, 'final_estimator__beta_2': 0.999, 'final_estimator__early_stopping': False, 'final_estimator__epsilon': 1e-08, 'final_estimator__hidden_layer_sizes': (76, 98, 56, 39), 'final_estimator__learning_rate': 'constant', 'final_estimator__learning_rate_init': 0.0007549928546183039, 'final_estimator__max_fun': 15000, 'final_estimator__max_iter': 300, 'final_estimator__momentum': 0.9, 'final_estimator__n_iter_no_change': 10, 'final_estimator__nesterovs_momentum': True, 'final_estimator__power_t': 0.5, 'final_estimator__random_state': 42, 'final_estimator__shuffle': True, 'final_estimator__solver': 'adam', 'final_estimator__tol': 0.0001, 'final_estimator__validation_fraction': 0.1, 'final_estimator__verbose': False, 'final_estimator__warm_start': False, 'final_estimator': MLPClassifier(alpha=0.00014352011136230925, hidden_layer_sizes=(76, 98, 56, 39),
              learning_rate_init=0.0007549928546183039, max_iter=300,
              random_state=42), 'n_jobs': -1, 'passthrough': False, 'stack_method': 'auto', 'verbose': 0, 'Logistic Regression': LogisticRegression(C=0.10971272926344011, max_iter=1000, n_jobs=-1,
                   random_state=42, solver='newton-cholesky'), 'Decision Tree': DecisionTreeClassifier(criterion='log_loss', max_depth=3, min_samples_leaf=7,
                       random_state=42), 'Support Vector Machine': SVC(C=0.01, degree=4, kernel='poly', random_state=42), 'Gradient Boosting': GradientBoostingClassifier(learning_rate=0.0029245666860120206,
                           max_features='sqrt', min_samples_leaf=10,
                           random_state=42, subsample=0.8365317135448747), 'Logistic Regression__C': 0.10971272926344011, 'Logistic Regression__class_weight': None, 'Logistic Regression__dual': False, 'Logistic Regression__fit_intercept': True, 'Logistic Regression__intercept_scaling': 1, 'Logistic Regression__l1_ratio': None, 'Logistic Regression__max_iter': 1000, 'Logistic Regression__multi_class': 'deprecated', 'Logistic Regression__n_jobs': -1, 'Logistic Regression__penalty': 'l2', 'Logistic Regression__random_state': 42, 'Logistic Regression__solver': 'newton-cholesky', 'Logistic Regression__tol': 0.0001, 'Logistic Regression__verbose': 0, 'Logistic Regression__warm_start': False, 'Decision Tree__ccp_alpha': 0.0, 'Decision Tree__class_weight': None, 'Decision Tree__criterion': 'log_loss', 'Decision Tree__max_depth': 3, 'Decision Tree__max_features': None, 'Decision Tree__max_leaf_nodes': None, 'Decision Tree__min_impurity_decrease': 0.0, 'Decision Tree__min_samples_leaf': 7, 'Decision Tree__min_samples_split': 2, 'Decision Tree__min_weight_fraction_leaf': 0.0, 'Decision Tree__monotonic_cst': None, 'Decision Tree__random_state': 42, 'Decision Tree__splitter': 'best', 'Support Vector Machine__C': 0.01, 'Support Vector Machine__break_ties': False, 'Support Vector Machine__cache_size': 200, 'Support Vector Machine__class_weight': None, 'Support Vector Machine__coef0': 0.0, 'Support Vector Machine__decision_function_shape': 'ovr', 'Support Vector Machine__degree': 4, 'Support Vector Machine__gamma': 'scale', 'Support Vector Machine__kernel': 'poly', 'Support Vector Machine__max_iter': -1, 'Support Vector Machine__probability': False, 'Support Vector Machine__random_state': 42, 'Support Vector Machine__shrinking': True, 'Support Vector Machine__tol': 0.001, 'Support Vector Machine__verbose': False, 'Gradient Boosting__ccp_alpha': 0.0, 'Gradient Boosting__criterion': 'friedman_mse', 'Gradient Boosting__init': None, 'Gradient Boosting__learning_rate': 0.0029245666860120206, 'Gradient Boosting__loss': 'log_loss', 'Gradient Boosting__max_depth': 3, 'Gradient Boosting__max_features': 'sqrt', 'Gradient Boosting__max_leaf_nodes': None, 'Gradient Boosting__min_impurity_decrease': 0.0, 'Gradient Boosting__min_samples_leaf': 10, 'Gradient Boosting__min_samples_split': 2, 'Gradient Boosting__min_weight_fraction_leaf': 0.0, 'Gradient Boosting__n_estimators': 100, 'Gradient Boosting__n_iter_no_change': None, 'Gradient Boosting__random_state': 42, 'Gradient Boosting__subsample': 0.8365317135448747, 'Gradient Boosting__tol': 0.0001, 'Gradient Boosting__validation_fraction': 0.1, 'Gradient Boosting__verbose': 0, 'Gradient Boosting__warm_start': False}"
CMA-ES,Logistic Regression,"{'C': 0.084423328736445, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cholesky', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
CMA-ES,Decision Tree,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}"
CMA-ES,Random Forest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 8, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 60, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
CMA-ES,K-Nearest Neighbors,"{'algorithm': 'kd_tree', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 31, 'p': 1, 'weights': 'uniform'}"
CMA-ES,Support Vector Machine,"{'C': 0.009778848806132442, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
CMA-ES,AdaBoost,"{'algorithm': 'deprecated', 'estimator': None, 'learning_rate': 0.5602864813134, 'n_estimators': 72, 'random_state': 42}"
CMA-ES,Gradient Boosting,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.005628208539774588, 'loss': 'log_loss', 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 71, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 0.7378333025819663, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
CMA-ES,SEL-NNML,"{'cv': None, 'estimators': [('Logistic Regression', LogisticRegression(C=0.084423328736445, max_iter=1000, n_jobs=-1,
                   random_state=42, solver='newton-cholesky')), ('Decision Tree', DecisionTreeClassifier(max_depth=4, max_features='log2', min_samples_leaf=5,
                       min_samples_split=7, random_state=42)), ('Support Vector Machine', SVC(C=0.009778848806132442, degree=4, kernel='poly', random_state=42)), ('Gradient Boosting', GradientBoostingClassifier(learning_rate=0.005628208539774588, max_depth=6,
                           max_features='log2', min_samples_leaf=3,
                           min_samples_split=3, n_estimators=71,
                           random_state=42, subsample=0.7378333025819663))], 'final_estimator__activation': 'relu', 'final_estimator__alpha': 0.0036288372752648896, 'final_estimator__batch_size': 'auto', 'final_estimator__beta_1': 0.9, 'final_estimator__beta_2': 0.999, 'final_estimator__early_stopping': False, 'final_estimator__epsilon': 1e-08, 'final_estimator__hidden_layer_sizes': (55, 98), 'final_estimator__learning_rate': 'adaptive', 'final_estimator__learning_rate_init': 0.0006875456643480669, 'final_estimator__max_fun': 15000, 'final_estimator__max_iter': 300, 'final_estimator__momentum': 0.9, 'final_estimator__n_iter_no_change': 10, 'final_estimator__nesterovs_momentum': True, 'final_estimator__power_t': 0.5, 'final_estimator__random_state': 42, 'final_estimator__shuffle': True, 'final_estimator__solver': 'adam', 'final_estimator__tol': 0.0001, 'final_estimator__validation_fraction': 0.1, 'final_estimator__verbose': False, 'final_estimator__warm_start': False, 'final_estimator': MLPClassifier(alpha=0.0036288372752648896, hidden_layer_sizes=(55, 98),
              learning_rate='adaptive',
              learning_rate_init=0.0006875456643480669, max_iter=300,
              random_state=42), 'n_jobs': -1, 'passthrough': False, 'stack_method': 'auto', 'verbose': 0, 'Logistic Regression': LogisticRegression(C=0.084423328736445, max_iter=1000, n_jobs=-1,
                   random_state=42, solver='newton-cholesky'), 'Decision Tree': DecisionTreeClassifier(max_depth=4, max_features='log2', min_samples_leaf=5,
                       min_samples_split=7, random_state=42), 'Support Vector Machine': SVC(C=0.009778848806132442, degree=4, kernel='poly', random_state=42), 'Gradient Boosting': GradientBoostingClassifier(learning_rate=0.005628208539774588, max_depth=6,
                           max_features='log2', min_samples_leaf=3,
                           min_samples_split=3, n_estimators=71,
                           random_state=42, subsample=0.7378333025819663), 'Logistic Regression__C': 0.084423328736445, 'Logistic Regression__class_weight': None, 'Logistic Regression__dual': False, 'Logistic Regression__fit_intercept': True, 'Logistic Regression__intercept_scaling': 1, 'Logistic Regression__l1_ratio': None, 'Logistic Regression__max_iter': 1000, 'Logistic Regression__multi_class': 'deprecated', 'Logistic Regression__n_jobs': -1, 'Logistic Regression__penalty': 'l2', 'Logistic Regression__random_state': 42, 'Logistic Regression__solver': 'newton-cholesky', 'Logistic Regression__tol': 0.0001, 'Logistic Regression__verbose': 0, 'Logistic Regression__warm_start': False, 'Decision Tree__ccp_alpha': 0.0, 'Decision Tree__class_weight': None, 'Decision Tree__criterion': 'gini', 'Decision Tree__max_depth': 4, 'Decision Tree__max_features': 'log2', 'Decision Tree__max_leaf_nodes': None, 'Decision Tree__min_impurity_decrease': 0.0, 'Decision Tree__min_samples_leaf': 5, 'Decision Tree__min_samples_split': 7, 'Decision Tree__min_weight_fraction_leaf': 0.0, 'Decision Tree__monotonic_cst': None, 'Decision Tree__random_state': 42, 'Decision Tree__splitter': 'best', 'Support Vector Machine__C': 0.009778848806132442, 'Support Vector Machine__break_ties': False, 'Support Vector Machine__cache_size': 200, 'Support Vector Machine__class_weight': None, 'Support Vector Machine__coef0': 0.0, 'Support Vector Machine__decision_function_shape': 'ovr', 'Support Vector Machine__degree': 4, 'Support Vector Machine__gamma': 'scale', 'Support Vector Machine__kernel': 'poly', 'Support Vector Machine__max_iter': -1, 'Support Vector Machine__probability': False, 'Support Vector Machine__random_state': 42, 'Support Vector Machine__shrinking': True, 'Support Vector Machine__tol': 0.001, 'Support Vector Machine__verbose': False, 'Gradient Boosting__ccp_alpha': 0.0, 'Gradient Boosting__criterion': 'friedman_mse', 'Gradient Boosting__init': None, 'Gradient Boosting__learning_rate': 0.005628208539774588, 'Gradient Boosting__loss': 'log_loss', 'Gradient Boosting__max_depth': 6, 'Gradient Boosting__max_features': 'log2', 'Gradient Boosting__max_leaf_nodes': None, 'Gradient Boosting__min_impurity_decrease': 0.0, 'Gradient Boosting__min_samples_leaf': 3, 'Gradient Boosting__min_samples_split': 3, 'Gradient Boosting__min_weight_fraction_leaf': 0.0, 'Gradient Boosting__n_estimators': 71, 'Gradient Boosting__n_iter_no_change': None, 'Gradient Boosting__random_state': 42, 'Gradient Boosting__subsample': 0.7378333025819663, 'Gradient Boosting__tol': 0.0001, 'Gradient Boosting__validation_fraction': 0.1, 'Gradient Boosting__verbose': 0, 'Gradient Boosting__warm_start': False}"
QMC,Logistic Regression,"{'C': 0.0930572040929699, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}"
QMC,Decision Tree,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}"
QMC,Random Forest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 48, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
QMC,K-Nearest Neighbors,"{'algorithm': 'brute', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 22, 'p': 1, 'weights': 'uniform'}"
QMC,Support Vector Machine,"{'C': 0.008058421877614822, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1, 'probability': False, 'random_state': 42, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
QMC,AdaBoost,"{'algorithm': 'deprecated', 'estimator': None, 'learning_rate': 0.27384196342643613, 'n_estimators': 72, 'random_state': 42}"
QMC,Gradient Boosting,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.013335214321633242, 'loss': 'log_loss', 'max_depth': 4, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 9, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 49, 'n_iter_no_change': None, 'random_state': 42, 'subsample': 0.53125, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}"
QMC,SEL-NNML,"{'cv': None, 'estimators': [('Decision Tree', DecisionTreeClassifier(criterion='log_loss', max_depth=3, min_samples_leaf=6,
                       min_samples_split=10, random_state=42)), ('K-Nearest Neighbors', KNeighborsClassifier(algorithm='brute', n_jobs=-1, n_neighbors=22, p=1)), ('Support Vector Machine', SVC(C=0.008058421877614822, degree=5, kernel='poly', random_state=42))], 'final_estimator__activation': 'relu', 'final_estimator__alpha': 0.000835362546957827, 'final_estimator__batch_size': 'auto', 'final_estimator__beta_1': 0.9, 'final_estimator__beta_2': 0.999, 'final_estimator__early_stopping': False, 'final_estimator__epsilon': 1e-08, 'final_estimator__hidden_layer_sizes': (34, 66, 73, 60), 'final_estimator__learning_rate': 'adaptive', 'final_estimator__learning_rate_init': 0.0002458244068920199, 'final_estimator__max_fun': 15000, 'final_estimator__max_iter': 300, 'final_estimator__momentum': 0.9, 'final_estimator__n_iter_no_change': 10, 'final_estimator__nesterovs_momentum': True, 'final_estimator__power_t': 0.5, 'final_estimator__random_state': 42, 'final_estimator__shuffle': True, 'final_estimator__solver': 'adam', 'final_estimator__tol': 0.0001, 'final_estimator__validation_fraction': 0.1, 'final_estimator__verbose': False, 'final_estimator__warm_start': False, 'final_estimator': MLPClassifier(alpha=0.000835362546957827, hidden_layer_sizes=(34, 66, 73, 60),
              learning_rate='adaptive',
              learning_rate_init=0.0002458244068920199, max_iter=300,
              random_state=42), 'n_jobs': -1, 'passthrough': False, 'stack_method': 'auto', 'verbose': 0, 'Decision Tree': DecisionTreeClassifier(criterion='log_loss', max_depth=3, min_samples_leaf=6,
                       min_samples_split=10, random_state=42), 'K-Nearest Neighbors': KNeighborsClassifier(algorithm='brute', n_jobs=-1, n_neighbors=22, p=1), 'Support Vector Machine': SVC(C=0.008058421877614822, degree=5, kernel='poly', random_state=42), 'Decision Tree__ccp_alpha': 0.0, 'Decision Tree__class_weight': None, 'Decision Tree__criterion': 'log_loss', 'Decision Tree__max_depth': 3, 'Decision Tree__max_features': None, 'Decision Tree__max_leaf_nodes': None, 'Decision Tree__min_impurity_decrease': 0.0, 'Decision Tree__min_samples_leaf': 6, 'Decision Tree__min_samples_split': 10, 'Decision Tree__min_weight_fraction_leaf': 0.0, 'Decision Tree__monotonic_cst': None, 'Decision Tree__random_state': 42, 'Decision Tree__splitter': 'best', 'K-Nearest Neighbors__algorithm': 'brute', 'K-Nearest Neighbors__leaf_size': 30, 'K-Nearest Neighbors__metric': 'minkowski', 'K-Nearest Neighbors__metric_params': None, 'K-Nearest Neighbors__n_jobs': -1, 'K-Nearest Neighbors__n_neighbors': 22, 'K-Nearest Neighbors__p': 1, 'K-Nearest Neighbors__weights': 'uniform', 'Support Vector Machine__C': 0.008058421877614822, 'Support Vector Machine__break_ties': False, 'Support Vector Machine__cache_size': 200, 'Support Vector Machine__class_weight': None, 'Support Vector Machine__coef0': 0.0, 'Support Vector Machine__decision_function_shape': 'ovr', 'Support Vector Machine__degree': 5, 'Support Vector Machine__gamma': 'scale', 'Support Vector Machine__kernel': 'poly', 'Support Vector Machine__max_iter': -1, 'Support Vector Machine__probability': False, 'Support Vector Machine__random_state': 42, 'Support Vector Machine__shrinking': True, 'Support Vector Machine__tol': 0.001, 'Support Vector Machine__verbose': False}"
